CQC Location ID,CQC Provider ID,Hospital Name,Provider Name,Address Line 1,Address Line 2,Town/City,County,Postal Code,Region,Local Authority,Constituency,Latitude,Longitude,Phone,Website,Number of Beds,Has Beds,Registration Date,Rating,Rating Date,Service Types,Specialisms,Companies House Number,Last Updated
1-114202293,1-101728704,The London Welbeck Hospital,Welbeck Healthcare Limited,27 Welbeck Street,,London,,W1G 8EN,London,Westminster,Cities of London and Westminster,51.5182388,-0.1494374,02072242242,www.londonwelbeckhospital.co.uk,21,Yes,2011-01-27,Not rated,,Hospital,Services for everyone,03310139,2025-11-01T23:11:13.174Z
1-114202635,1-101729255,King Edward VII's Hospital,King Edward VII's Hospital Sister Agnes,5-10 Beaumont Street,,London,,W1G 6AA,London,Westminster,Cities of London and Westminster,51.5207794,-0.1503002,02074674563,www.kingedwardvii.co.uk,65,Yes,2011-01-12,Not rated,,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs,,2025-11-01T23:11:13.400Z
1-114617347,1-101728696,The London Clinic,Trustees of The London Clinic Limited,20 Devonshire Place,,London,,W1G 6BW,London,Westminster,Cities of London and Westminster,51.5230236,-0.1500506,02079354444,www.thelondonclinic.co.uk,0,No,2011-01-25,Good,2021-12-20,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs,00307579,2025-11-01T23:11:15.255Z
1-115480780,1-101728712,Hospital of St John & St Elizabeth,The Hospital Of St John And St Elizabeth,60 Grove End Road,St John's Wood,London,,NW8 9NH,London,Westminster,Cities of London and Westminster,51.533473,-0.175461,02078064000,www.hje.org.uk,110,Yes,2011-01-11,Good,2024-03-28,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children; Dementia; Eating disorders; Physical disabilities; Sensory impairment,02808390,2025-11-01T23:11:17.294Z
1-11984358600,1-102643516,Nuffield Health at St Bartholomew's Hospital,Nuffield Health,38 Giltspur Street,,London,,EC1A 7BS,London,City of London,Cities of London and Westminster,51.5176882,-0.1009896,,www.nuffieldhealth.com/hospitals/st-bartholomews,0,No,2022-04-20,Not rated,,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Physical disabilities; Sensory impairment,00576970,2025-11-01T23:11:26.051Z
1-126955711,1-101728688,HCA Healthcare UK The Wellington Hospital,HCA International Limited,Wellington Place,St John's Wood,London,,NW8 9LE,London,Westminster,Cities of London and Westminster,51.5315514,-0.1714471,02074835148,www.thewellingtonhospital.com,266,Yes,2010-11-12,Good,2023-06-16,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children; Physical disabilities,03020522,2025-11-01T23:11:34.110Z
1-126955732,1-101728688,HCA Healthcare UK The Princess Grace Hospital,HCA International Limited,42-52 Nottingham Place,,London,,W1U 5NY,London,Westminster,Cities of London and Westminster,51.5223688,-0.1529041,02074861234,www.theprincessgracehospital.com,120,Yes,2010-11-12,Good,2021-08-23,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children,03020522,2025-11-01T23:11:34.212Z
1-126955771,1-101728688,HCA Healthcare UK The Harley Street Clinic,HCA International Limited,35 Weymouth Street,,London,,W1G 8BJ,London,Westminster,Cities of London and Westminster,51.520357,-0.148195,02079357700,www.theharleystreetclinic.com,121,Yes,2010-11-12,Outstanding,2023-04-20,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children,03020522,2025-11-01T23:11:34.332Z
1-126955884,1-101728688,HCA Healthcare UK The Lister Hospital,HCA International Limited,Chelsea Bridge Road,,London,,SW1W 8RH,London,Westminster,Cities of London and Westminster,51.48652,-0.1504776,02077307733,www.thelisterhospital.com,76,Yes,2010-11-12,Outstanding,2024-03-13,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children; Services for everyone,03020522,2025-11-01T23:11:35.079Z
1-126955902,1-101728688,HCA Healthcare UK London Bridge Hospital,HCA International Limited,27 Tooley Street,,London,,SE1 2PR,London,Southwark,Bermondsey and Old Southwark,51.506327,-0.085893,02074073100,www.londonbridgehospital.com,103,Yes,2010-11-12,Outstanding,2023-09-25,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs,03020522,2025-11-01T23:11:35.198Z
1-126955917,1-101728688,HCA Healthcare UK The Portland Hospital,HCA International Limited,"205-209, 214 and 234 Great Portland Street",,London,,W1W 5AH,London,Westminster,Cities of London and Westminster,51.5231854,-0.14435,02075804400,www.theportlandhospital.com,110,Yes,2010-11-12,Good,2022-05-26,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children; Physical disabilities; Sensory impairment,03020522,2025-11-01T23:11:35.584Z
1-12816317745,1-11062265905,Cleveland Clinic London Hospital,Cleveland Clinic London Ltd,33 Grosvenor Place,,London,,SW1X 7HY,London,Westminster,Cities of London and Westminster,51.4992646,-0.1488954,02034237000,www.clevelandcliniclondon.uk,0,No,2022-03-24,Not rated,,Hospital; Doctors/Gps,Caring for adults over 65 yrs; Caring for adults under 65 yrs,09915684,2025-11-01T23:11:38.080Z
1-128758337,1-102643500,Bishops Wood Hospital,Circle Health Group Limited,Rickmansworth Road,Northwood,London,,HA6 2JW,London,Hillingdon,"Ruislip, Northwood and Pinner",51.6164548,-0.4465004,01923835814,www.circlehealthgroup.co.uk/hospitals/bishops-wood-hospital,42,Yes,2011-05-11,Good,2021-10-19,Hospital; Diagnosis/screening,Caring for adults over 65 yrs; Caring for adults under 65 yrs,02164270,2025-11-01T23:11:38.625Z
1-128758401,1-102643500,Chelsfield Park Hospital,Circle Health Group Limited,Buck Cross Road,Chelsfield,Orpington,Kent,BR6 7RG,London,Bromley,Orpington,51.3584863,0.1313912,01689877855,www.circlehealthgroup.co.uk/hospitals/chelsfield-park-hospital,50,Yes,2011-05-11,Good,2016-12-06,Hospital; Diagnosis/screening,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children; Physical disabilities; Sensory impairment,02164270,2025-11-01T23:11:38.743Z
1-128758547,1-102643500,The Blackheath Hospital,Circle Health Group Limited,40-42 Lee Terrace,Blackheath,London,,SE3 9UD,London,Lewisham,Lewisham North,51.4634743,0.0062905,02083187722,www.circlehealthgroup.co.uk/hospitals/the-blackheath-hospital,0,No,2011-05-11,Good,2019-05-16,Hospital; Diagnosis/screening,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children; Physical disabilities; Sensory impairment,02164270,2025-11-01T23:11:39.047Z
1-128758601,1-102643500,The Cavell Hospital,Circle Health Group Limited,Cavell Drive,"Uplands Park Road, Enfield",Enfield,Middlesex,EN2 7PR,London,Enfield,Enfield North,51.659225,-0.101361,02083623640,www.circlehealthgroup.co.uk/hospitals/the-cavell-hospital,45,Yes,2011-05-11,Good,2019-08-20,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children; Physical disabilities; Sensory impairment,02164270,2025-11-01T23:11:39.170Z
1-128758653,1-102643500,The Clementine Churchill Hospital,Circle Health Group Limited,Sudbury Hill,,Harrow,Middlesex,HA1 3RX,London,Harrow,Harrow West,51.5649659,-0.3326811,02088723872,www.circlehealthgroup.co.uk/hospitals/the-clementine-churchill-hospital,141,Yes,2011-05-11,Good,2019-12-24,Hospital; Diagnosis/screening,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children; Dementia; Learning disabilities; Physical disabilities; Sensory impairment,02164270,2025-11-01T23:11:39.341Z
1-128766778,1-102643500,Hendon Hospital,Circle Health Group Limited,46-50 Sunny Gardens Road,Hendon,London,,NW4 1RP,London,Barnet,Hendon,51.593715,-0.224578,02084574500,www.circlehealthgroup.co.uk/hospitals/hendon-hospital,30,Yes,2011-05-11,Good,2017-01-10,Hospital; Diagnosis/screening,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Physical disabilities,02164270,2025-11-01T23:11:39.667Z
1-128766906,1-102643500,The Kings Oak Hospital,Circle Health Group Limited,Chase Farm (North Side),Chase Farm (North Side) Enfield,London,,EN2 8SD,London,Enfield,Enfield North,51.6679017,-0.1055424,02083709500,www.circlehealthgroup.co.uk/hospitals/the-kings-oak-hospital,52,Yes,2011-05-11,Good,2022-08-05,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children; Physical disabilities; Sensory impairment,02164270,2025-11-01T23:11:39.861Z
1-128766965,1-102643500,The London Independent Hospital,Circle Health Group Limited,Pathology Department,"1 Beaumont Square, Stepney Green",London,,E1 4NL,London,Tower Hamlets,Bethnal Green and Stepney,51.5204037,-0.0467175,02077802500,www.circlehealthgroup.co.uk/hospitals/the-london-independent-hospital,80,Yes,2011-05-11,Good,2019-09-18,Hospital; Diagnosis/screening,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Physical disabilities; Sensory impairment,02164270,2025-11-01T23:11:39.982Z
1-128767270,1-102643500,The Shirley Oaks Hospital,Circle Health Group Limited,Poppy Lane,Shirley Oaks Village,Croydon,Surrey,CR9 8AB,London,Croydon,Croydon East,51.3822986,-0.056326,02086555500,www.circlehealthgroup.co.uk/hospitals/shirley-oaks-hospital,50,Yes,2011-05-11,Good,2020-01-15,Hospital; Diagnosis/screening,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Dementia; Learning disabilities; Physical disabilities; Sensory impairment,02164270,2025-11-01T23:11:40.188Z
1-128767290,1-102643500,The Sloane Hospital,Circle Health Group Limited,125 Albemarle Road,,Beckenham,Kent,BR3 5HS,London,Bromley,Beckenham and Penge,51.408332,-0.00436,02084664000,www.circlehealthgroup.co.uk/hospitals/the-sloane-hospital,32,Yes,2011-05-11,Good,2023-03-17,Hospital; Diagnosis/screening,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Physical disabilities; Sensory impairment,02164270,2025-11-01T23:11:40.379Z
1-12924818809,1-102643516,Parkside Hospital,Nuffield Health,53 Parkside,,London,,SW19 5NX,London,Merton,Wimbledon,51.4357258,-0.2232272,02089718000,www.parkside-hospital.co.uk,0,No,2022-06-01,Good,2021-11-30,Hospital,Services for everyone,00576970,2025-11-01T23:11:42.549Z
1-12924818962,1-102643516,Highgate Hospital,Nuffield Health,17 View Road,,London,,N6 4DJ,London,Haringey,Hampstead and Highgate,51.5765664,-0.1569693,02084314182,www.highgatehospital.co.uk,0,No,2022-06-01,Good,2017-05-31,Hospital,Services for everyone,00576970,2025-11-01T23:11:42.838Z
1-129508000,1-116865945,Weymouth Hospital,The Weymouth Clinic Limited,42-46 Weymouth Street,,London,,W1G 6NP,London,Westminster,Cities of London and Westminster,51.5202186,-0.1506689,02079351200,www.bmihealthcare.co.uk/weymouth,10,Yes,2011-01-21,Not rated,,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Physical disabilities; Sensory impairment,06251383,2025-11-01T23:11:44.077Z
1-129798374,1-102643305,Spire London East Hospital,Spire Healthcare Limited,Roding Lane South,,Ilford,Essex,IG4 5PZ,London,Redbridge,Ilford North,51.587155,0.0430899,02085511100,www.spirehealthcare.com/roding,65,Yes,2010-11-03,Good,2020-02-11,Hospital,Caring for children; Services for everyone,01522532,2025-11-01T23:11:46.949Z
1-130440888,1-101728680,Cromwell Hospital,Medical Services International Limited,Cromwell Road,,London,,SW5 0TU,London,Kensington and Chelsea,Kensington and Bayswater,51.4951046,-0.191359,02074605500,www.cromwellhospital.com,143,Yes,2010-12-10,Good,2023-04-25,Hospital,Physical disabilities; Sensory impairment; Services for everyone,01416977,2025-11-01T23:11:50.340Z
1-13053163420,1-444129069,DaVita (UK) Ltd - HMP Thameside,DaVita (UK) Limited,Griffin Manor Way,,London,,SE28 0FJ,London,Greenwich,Erith and Thamesmead,51.4934468,0.0875287,02075813139,www.renalservices.com,0,No,2022-04-01,Not rated,,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs,05882395,2025-11-01T23:11:51.434Z
1-13740482832,1-101726553,The Fitzrovia Hospital,Queen Anne Street Medical Centre Limited,13-14,Fitzroy Square,London,,W1T 6AH,London,Camden,Holborn and St Pancras,51.5235641,-0.1404424,02070343301,www.fitzroviahospital.com,0,No,2022-08-22,Not rated,,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs,04997153,2025-11-01T23:11:58.896Z
1-1382018165,1-102643305,St Anthony's Hospital,Spire Healthcare Limited,London Road,,Sutton,Surrey,SM3 9DW,London,Sutton,Sutton and Cheam,51.3799203,-0.2207937,02083376691,www.spirehealthcare.com/spire-st-anthonys-hospital,0,No,2014-05-22,Good,2020-04-28,Hospital,Services for everyone,01522532,2025-11-01T23:12:00.951Z
1-17429112856,1-16471837171,The Private Clinic - Fitzroy Square,TPC Group Limited,Adam House,1 Fitzroy Square,London,,W1T 5HF,London,Camden,Holborn and St Pancras,51.5230827,-0.1390061,02039033021,www.theprivateclinic.co.uk,0,No,2023-12-11,Good,2019-07-04,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs,14493595,2025-11-01T23:12:25.807Z
1-207542102,1-101727726,DHI International UK Limited,DHI International UK Limited,43 New Cavendish Street,,London,,W1G 9TH,London,Westminster,Cities of London and Westminster,51.5191087,-0.1492868,02074869789,www.dhiglobal.com,0,No,2011-02-24,Good,2019-02-18,Hospital; Clinic,Caring for adults over 65 yrs; Caring for adults under 65 yrs,02739914,2025-11-01T23:12:54.936Z
1-21633613916,1-101726795,The New Victoria Hospital,Metabolic Services Limited,184 Coombe Lane West,,Kingston Upon Thames,Surrey,KT2 7EG,London,Kingston upon Thames,Richmond Park,51.415693,-0.2542662,02089499000,www.bupa.com,0,No,2025-08-08,Good,2016-12-15,Hospital,Services for everyone,01837551,2025-11-01T23:12:57.683Z
1-23637683651,1-20630439023,Chelsea Hospital Limited,Chelsea Hospital Limited,169 Fulham Road,,London,,SW3 6SP,London,Kensington and Chelsea,Chelsea and Fulham,51.4917234,-0.1714862,,www.memorialhouston.com,0,No,2025-06-27,Not rated,,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Physical disabilities,13959891,2025-11-01T23:13:15.680Z
1-358557034,1-116865921,Practice Plus Group Hospital - Ilford,Practice Plus Group Hospitals Limited,King George Hospital,Barley Lane,Ilford,Essex,IG3 8YY,London,Redbridge,Ilford South,51.5805458,0.1121259,,www.nelondontreatmentcentre.nhs.uk,0,No,2012-01-10,Good,2019-04-04,Hospital; Diagnosis/screening,Caring for adults over 65 yrs; Caring for adults under 65 yrs,03462881,2025-11-01T23:13:32.248Z
1-9127243322,1-101727229,Cora Health - West London Clinic,Cora Health Diagnostics Ltd,Unit 3,"Brentside Executive Centre, Great West Road",Brentford,,TW8 9DR,London,Hounslow,Brentford and Isleworth,51.4860068,-0.3159356,02030589099,www.globaldiagnostics.co.uk,0,No,2020-07-16,Good,2022-09-30,Hospital; Community services - Healthcare,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children,04336164,2025-11-01T23:14:24.101Z
1-109183027,1-101728244,The Horder Centre,Horder Healthcare,St John's Road,,Crowborough,East Sussex,TN6 1XP,South East,East Sussex,Sussex Weald,51.0636729,0.1428121,01892665577,www.hordercentre.co.uk,59,Yes,2011-01-25,Outstanding,2017-05-16,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children; Physical disabilities; Sensory impairment,,2025-11-01T23:15:16.766Z
1-115574357,1-102643516,Nuffield Health Brighton Hospital,Nuffield Health,Warren Road,Woodingdean,Brighton,East Sussex,BN2 6DX,South East,Brighton and Hove,Brighton Kemptown and Peacehaven,50.834518,-0.081925,01273624488,www.nuffieldhealth.com/hospitals/brighton,56,Yes,2010-11-26,Good,2022-12-06,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children; Physical disabilities; Sensory impairment,00576970,2025-11-01T23:15:21.879Z
1-115574439,1-102643516,Nuffield Health Chichester Hospital,Nuffield Health,78 Broyle Road,,Chichester,West Sussex,PO19 6WB,South East,West Sussex,Chichester,50.847969,-0.7800084,01243530600,www.nuffieldhealth.com/hospitals/chichester,40,Yes,2010-11-26,Outstanding,2021-12-15,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Physical disabilities; Sensory impairment,00576970,2025-11-01T23:15:21.979Z
1-115574498,1-102643516,Nuffield Health Guildford Hospital,Nuffield Health,Stirling Road,,Guildford,Surrey,GU2 7RF,South East,Surrey,Guildford,51.2419008,-0.6110691,01483555800,www.nuffieldhealth.com/hospitals/guildford,54,Yes,2010-11-26,Good,2019-07-18,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Physical disabilities; Sensory impairment,00576970,2025-11-01T23:15:22.087Z
1-115574517,1-102643516,Nuffield Health Haywards Heath Hospital,Nuffield Health,5 Burrell Road,,Haywards Heath,West Sussex,RH16 1UD,South East,West Sussex,Mid Sussex,51.0083571,-0.1061885,01444456999,www.nuffieldhealth.com/hospitals/haywards-heath,42,Yes,2010-11-26,Good,2017-03-24,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Physical disabilities; Sensory impairment,00576970,2025-11-01T23:15:22.184Z
1-115574757,1-102643516,Nuffield Health The Manor Hospital Oxford,Nuffield Health,Beech Road,,Oxford,Oxfordshire,OX3 7RP,South East,Oxfordshire,Oxford East,51.7604489,-1.2155141,01865307777,www.nuffieldhealth.com/hospitals/oxford,60,Yes,2010-11-26,Good,2022-06-17,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children; Physical disabilities; Sensory impairment,00576970,2025-11-01T23:15:22.302Z
1-115574778,1-102643516,Nuffield Health Tunbridge Wells Hospital,Nuffield Health,Kingswood Road,,Tunbridge Wells,Kent,TN2 4UL,South East,Kent,Tunbridge Wells,51.1315172,0.2780657,01892531111,www.nuffieldhealth.com/hospitals/tunbridge-wells,40,Yes,2010-11-26,Good,2017-07-11,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Physical disabilities; Sensory impairment,00576970,2025-11-01T23:15:22.428Z
1-115574818,1-102643516,Nuffield Health Wessex Hospital,Nuffield Health,Winchester Road,Chandlers Ford,Eastleigh,Hampshire,SO53 2DW,South East,Hampshire,Eastleigh,50.9945,-1.362959,02380266377,www.nuffieldhealth.com/hospitals/wessex,55,Yes,2010-11-26,Good,2023-01-27,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children; Physical disabilities; Sensory impairment,00576970,2025-11-01T23:15:22.536Z
1-115574838,1-102643516,Nuffield Health Woking Hospital,Nuffield Health,Shores Road,,Woking,Surrey,GU21 4BY,South East,Surrey,Woking,51.332208,-0.56138,01483227800,www.nuffieldhealth.com/hospitals/woking,47,Yes,2010-11-26,Good,2017-08-04,Hospital; Doctors/Gps,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Physical disabilities; Sensory impairment,00576970,2025-11-01T23:15:22.645Z
1-118024670,1-101635529,Benenden Hospital,The Benenden Hospital Trust,Goddard's Green Road,,Benenden,Kent,TN17 4AX,South East,Kent,Weald of Kent,51.086647,0.6161304,01580240333,www.benendenhospital.org.uk,120,Yes,2010-12-14,Outstanding,2017-05-11,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs,03454120,2025-11-01T23:15:24.690Z
1-118822952,1-101728786,Spencer Private Hospital,Spencer Private Hospitals Limited,Ramsgate Road,,Margate,Kent,CT9 4BG,South East,Kent,East Thanet,51.3771842,1.3879519,01843234555,www.spencerprivatehospitals.com,22,Yes,2011-01-04,Not rated,,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children; Learning disabilities; Physical disabilities; Sensory impairment,03130118,2025-11-01T23:15:26.089Z
1-118822975,1-101728786,Spencer Private Hospitals,Spencer Private Hospitals Limited,Kennington Road,Willesborough,Ashford,Kent,TN24 0LZ,South East,Kent,Ashford,51.141489,0.916209,01233616201,www.spencerprivatehospitals.com,6,Yes,2011-01-04,Good,2015-10-13,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children; Learning disabilities; Physical disabilities; Sensory impairment,03130118,2025-11-01T23:15:26.219Z
1-1285831303,1-1058889874,KIMS Hospital,KIMS Hospital Limited,Newnham Court Way,Weavering,Maidstone,Kent,ME14 5FT,South East,Kent,Faversham and Mid Kent,51.286548,0.556711,01622237500,www.kims.org.uk,0,No,2014-04-15,Good,2019-10-29,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs,07525422,2025-11-01T23:15:39.715Z
